model,split,region,variable,metric_space,num_seeds,MAE_mean_across_seeds,MAE_std_across_seeds,MAE_ci95_across_seeds,MAE_n_seeds,RMSE_mean_across_seeds,RMSE_std_across_seeds,RMSE_ci95_across_seeds,RMSE_n_seeds,R2_mean_across_seeds,R2_std_across_seeds,R2_ci95_across_seeds,R2_n_seeds
basic_gcn,val,interior,V,zscore,3,0.12495918226227276,0.003835208948431829,0.004339947480800133,3,0.20659064559144258,0.007817866214699617,0.008846748440548797,3,0.946833392108995,0.004420620628875654,0.0050024031597304805,3
full_bagnn,test,airfoil,Cp,physical,3,0.136841201755063,0.0023684301113993467,0.0026801309742515273,3,0.26331148873238513,0.007134315555719026,0.008073238052893105,3,0.8734671792940061,0.017974642206265115,0.02034022245209377,3
full_bagnn,test,airfoil,Cp,zscore,3,0.19158320342733837,0.0033158973624879224,0.0037522911002816415,3,0.3686467023255924,0.009988329499145793,0.011302858861169548,3,0.8734671834931027,0.017974643589499725,0.020340224017371088,3
full_bagnn,test,airfoil,U,physical,3,0.1724362205636377,0.02427599349057318,0.027470872698190936,3,0.28918776352268954,0.0201611570637515,0.022814496937545257,3,nan,nan,nan,0
full_bagnn,test,airfoil,U,zscore,3,0.013753984520735682,0.001936318692721844,0.0021911508722205274,3,0.02306639890399917,0.0016081090645061638,0.0018197467145066653,3,-14756488392.58454,3663942954.008766,4146141763.553092,3
full_bagnn,test,airfoil,V,physical,3,0.08052254711122563,0.013693766722157438,0.015495955810384772,3,0.13070933449392516,0.0089823606703231,0.010164497967899925,3,nan,nan,nan,0
full_bagnn,test,airfoil,V,zscore,3,0.009450600288982968,0.001607180886142093,0.001818696381811095,3,0.015340817119188915,0.0010542222493077744,0.001192964778870131,3,nan,nan,nan,0
full_bagnn,test,farfield,Cp,physical,3,0.01831617039764145,0.0009656040883914616,0.0010926838895122905,3,0.02717976288598341,0.0024986322871827986,0.002827468606277323,3,-4.239346994806441,0.6330587852273618,0.7163734537251947,3
full_bagnn,test,farfield,Cp,zscore,3,0.025643377452312655,0.0013518846940884614,0.001529801544408804,3,0.03805276451942821,0.0034981859708354685,0.0039585700793969706,3,-4.239346853681407,0.6330589131158678,0.7163735984446629,3
full_bagnn,test,farfield,U,physical,3,0.37010281688223284,0.02432280107758808,0.027523840469198747,3,0.4487970360865196,0.03624182936190634,0.041011490678521376,3,-5.868239576856493,1.0461167801406128,1.183792577051216,3
full_bagnn,test,farfield,U,zscore,3,0.029520420272213715,0.0019400576749453817,0.002195381928911307,3,0.03579728226177394,0.00289074579663506,0.003271186813138221,3,-5.8682493477638324,1.0461164992027714,1.1837922591401209,3
full_bagnn,test,farfield,V,physical,3,0.444749732905378,0.03917455765430629,0.04433018515791257,3,0.5155822254406909,0.051379456329606436,0.058141328167721204,3,-7.323313780020769,1.5352629462966052,1.7373135716295578,3
full_bagnn,test,farfield,V,zscore,3,0.052198439628894755,0.004597758836800712,0.005202853912107909,3,0.06051175908263152,0.006030197375480597,0.006823810712880584,3,-7.323322927757026,1.5352646333709155,1.73731548073386,3
full_bagnn,test,global,Cp,physical,3,0.10098272848020617,0.006044406636628952,0.006839890005548601,3,0.18393746328850588,0.01700819247663252,0.019246581629432997,3,0.9153289450831718,0.012820358186212947,0.014507601009838235,3
full_bagnn,test,global,Cp,zscore,3,0.1413798925001174,0.008462412471682109,0.009576121192297851,3,0.25751986585091796,0.02381215351041167,0.026945988348872907,3,0.9153289473906326,0.012820357047210814,0.014507599720935987,3
full_bagnn,test,global,U,physical,3,2.7312244601547717,0.19862421371617126,0.22476445678295412,3,4.097745096186796,0.381308479446125,0.4314911643749141,3,0.9043810577222727,0.021619475983910442,0.024464740146936715,3
full_bagnn,test,global,U,zscore,3,0.21784981892754632,0.015842801793095086,0.017927817924724213,3,0.3268471819038193,0.030414193147898977,0.0344168994982045,3,0.9043810569316055,0.021619477073339992,0.024464741379742302,3
full_bagnn,test,global,V,physical,3,1.014906340278685,0.10641357486110013,0.12041829593931366,3,1.9565269824117422,0.33278828897377827,0.37658540011544506,3,0.9369490744887714,0.019266540322289985,0.02180214279319673,3
full_bagnn,test,global,V,zscore,3,0.11911538672478249,0.012489324943161403,0.01413300163114465,3,0.22962953556949894,0.03905799464915238,0.04419828170040238,3,0.9369490721380732,0.01926654115263711,0.021802143732822955,3
full_bagnn,test,interior,Cp,physical,3,0.10115198441781104,0.006181037802936684,0.006994502725217625,3,0.18274644874036314,0.01728123336001452,0.019555556475372927,3,0.9162022627703189,0.012816330614226854,0.01450304338308835,3
full_bagnn,test,interior,Cp,zscore,3,0.14161685802197704,0.00865370210762367,0.009792585792993781,3,0.25585239885064465,0.024194423482383612,0.027378567544466284,3,0.9162022620926159,0.012816330430697697,0.014503043175405557,3
full_bagnn,test,interior,U,physical,3,2.7988248546918233,0.20409286063185428,0.2309528133299444,3,4.152560917039712,0.3865027406473034,0.4373690242562875,3,0.8994002523703575,0.022102508998450374,0.025011343459242042,3
full_bagnn,test,interior,U,zscore,3,0.22324180741173527,0.01627899621465578,0.01842141837947009,3,0.331219439363728,0.030828498213414112,0.03488572981476401,3,0.8994002526788577,0.022102507817260517,0.025011342122599887,3
full_bagnn,test,interior,V,physical,3,1.036779715679586,0.10892859857314928,0.12326431318896659,3,1.9820473334441582,0.3373508614109383,0.3817484368680364,3,0.9365187028009089,0.019419630056857724,0.02197538013614392,3
full_bagnn,test,interior,V,zscore,3,0.1216825749569883,0.012784502074719708,0.014467026000017716,3,0.232624754589051,0.039593484539562115,0.04480424555586009,3,0.9365187004261241,0.01941963038293444,0.02197538050513446,3
full_bagnn,train,airfoil,Cp,physical,3,0.07487922825301871,0.0011950741301318517,0.0013523536866370375,3,0.13864114499413369,0.0019300061432476635,0.0021840075500296732,3,0.9625327325588873,0.001370454282553081,0.0015508150119304298,3
full_bagnn,train,airfoil,Cp,zscore,3,0.10483393951472753,0.001673152038126921,0.0018933497680311878,3,0.1941031938945238,0.002702086529535135,0.003057698754993513,3,0.9625327330880514,0.001370454279336414,0.0015508150082904281,3
full_bagnn,train,airfoil,U,physical,3,0.09414343893422855,0.013670546050952335,0.015469679147273551,3,0.1741292616413199,0.016734119025356133,0.01893643832292358,3,nan,nan,nan,0
full_bagnn,train,airfoil,U,zscore,3,0.007509140600263112,0.0010903946602274933,0.0012338977151863367,3,0.013889022851443366,0.0013347562544826232,0.0015104188903430351,3,-3548100517.425134,640746262.5735694,725072653.2710301,3
full_bagnn,train,airfoil,V,physical,3,0.03881876931618037,0.009491407844663178,0.010740539073245431,3,0.05961477158354047,0.005719748612283424,0.006472504865957693,3,nan,nan,nan,0
